Name,Name (plain),rank,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,Cu redox,localities,Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",Year,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,structure,structure type,   a   ,   b   ,   c   ,   α   ,   β   ,   γ   ,   volume   ,   crystal system   ,   point group   ,   space group   ,multiplicity,   lattice   ,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID
Ktenasite,Ktenasite,626,"(Cu^2+^,Zn^2+^)_5_(S^6+^O_4_)_2_(OH)_6_·6H_2_O",,Cu Zn S O H,5,2,67,2726,72,0,0,1,0,1,Ktenasite,90,4.514,406.267,0.695,1978,200402,1950,8,1,green,2,2.5,1,Devilline,5.594333333,6.151666667,23.77033333,90,95.5,90,814.2713333,monoclinic,2/m,P21/c,4,P,1855,73,24,145,"Block 14 Opencut, Broken Hill, Yancowinna Co., New South Wales, Australia","-31.959166666667,141.475",EG100_633,
Kunatite,Kunatite,3617,Cu^2+^Fe^3+^_2_(P^5+^O_4_)_2_(OH)_2_·4H_2_O,,Cu Fe P O H,5,2,2,5656,72,0,0,1,0,1,Kunatite,,,,,,,2007,1,0.025,green,2,,0,Arthurite,9.851,9.6485,5.4735,90,92.34,90,519.8,monoclinic,2/m,P21/c,,P,398,202,2,11,"Lake Boga Granite Quarry, Lake Boga, Swan Hill Rural City, Victoria, Australia","-35.551666666667,143.58138888889",AEJS55_281,
Kup?íkite,Kupcikite,2337,Cu_3.4_Fe_0.6_Bi_5_S_10_,,Cu Fe Bi S,4,,7,5036,51,0,1,0,1,0,Kupcikite,19,3.301,62.711,0.777,2003,55302,2001,1,0.01,gray,1,3,1,,17.512,3.9103,12.869,90,108.56,90,835.401,monoclinic,2/m,C2/m,,C,3026,589,3,20,"Moly Hill Mine, La Motte, Abitibi RCM, Abitibi-Témiscamingue, Québec, Canada","48.301666666667,-78.21",TCM41_307,
Kuramite,Kuramite,1690,Cu_3_SnS_4_,,Cu Sn S,3,1,11,2735,"51,53,56",0,1,0,1,0,Kuramite,8,1.75,14,0.583,1998,50965,1979,1,0.008,gray,1,5,1,Sphalerite,5.413,5.413,10.824,90,90,90,317.149,tetragonal,42m,I42m,16,I,900,18222,4,34,"Kambove District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.835277777778,26.551666666667",USGSOFR03_107,
Kusachiite,Kusachiite,4508,Cu^2+^Bi^3+^_2_O_4_,,Cu Bi O,3,2,1,2740,5,0,1,0,1,0,Kusachiite,28,1.379,38.606,0.287,1993,56390,1992,1,0.05,black,1,4.5,1,Trippkeite,8.50206,8.50206,5.8058,90,90,90,419.673,tetragonal,4/m2/m2/m,P4/ncc,,P,,,0,4,,,,
Kutinaite,Kutinaite,2767,Ag_6_Cu_14_As_7_,,Ag Cu As,3,,5,2741,52,0,1,0,1,0,,,,,,,,1969,1,0.04,gray,1,4.5,1,,11.78079,11.78079,11.78079,90,90,90,1635.021,cubic,4/m32/m,Pm3m,,P,359,1866,3,20,"Glasberg Quarry, Nieder-Beerbach, Mühltal, Odenwald, Hesse, Germany","49.797222222222,8.6938888888889",MD45_647,
Lammerite,Lammerite,1760,Cu^2+^_3_(As^5+^O_4_)_2_,,Cu As O,3,2,6,2762,"22,72,89",0,1,1,1,1,Lammerite,26,2.777,72.211,0.591,1986,201733,1980,1,0.2,green,3,4,1,,5.078666667,11.613,5.393666667,90,111.7633333,90,295.4366667,monoclinic,2/m,P21/a,,P,600,206963,6,35,"Tsumeb Smelter Slag Locality, Tsumeb, Otjikoto Region (Oshikoto), Namibia","0,0",CGSN10_99,
Lammerite-?,Lammerite-beta,2771,Cu^2+^_3_(As^5+^O_4_)_2_,,Cu As O,3,2,1,5732,72,0,0,1,0,1,Lammerite-?,52,3.7,192.423,0.649,,,2009,1,0.015,green,2,,1,Lammerite-β,6.3165,8.6425,11.3115,90,92.15,90,617.063,monoclinic,2/m,P21/c,,P,3.60E-05,251235,1,8,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Langite,Langite,164,Cu^2+^_4_S^6+^O_4_(OH)_6_·2H_2_O,,Cu S O H,4,2,525,2770,72,0,0,1,0,1,Langite,54,4.755,256.764,0.826,1984,30724,1864,6,0.7,blue,2,3,1,,7.13208,6.03568,11.22362,90,90.04,90,483.1428,monoclinic,m,Pc,2,P,2223,23012,136,538,"Silver Queen Mine, Coleman Township, Cobalt Area, Cobalt-Gowganda Region, Timiskaming District, Ontario, Canada","47.388333333333,-79.696388888889",CJES_23_1507,
Lapeyreite,Lapeyreite,4514,Cu^2+^_3_O[As^5+^O_3_(OH)]_2_·H_2_O,,Cu O As H,4,2,1,5689,72,0,0,1,0,1,Lapeyreite,21,3.44,72.239,0.783,2010,166082,2003,1,0.02,green,2,,1,,19.158,2.9361,9.193,90,103.26,90,503.318,monoclinic,2/m,C2/m,,C,251,6914,1,6,"Roua Mines (Clue De Roua), Daluis, Guillaumes, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France","44.030277777778,6.8677777777778",,
Lapieite,Lapieite,3625,CuNiSbS_3_,,Cu Ni Sb S,4,,3,2778,0,,,,,,Lapieite,,,,,,,1983,1,0.015,gray,1,5,0,,7.422,12.508,4.9,90,90,90,454.9,orthorhombic,222,P212121,,P,354,15123,1,9,"Grüneau Mine (Grüne Au Mine; Grünau Mine), Schutzbach, Betzdorf, Siegerland, Rhineland-Palatinate, Germany","50.755833333333,7.8983333333333",,
Larosite,Larosite,2512,"(Cu,Ag)_21_PbBiS_13_",,Cu Ag Pb Bi S,5,,4,2782,51,0,1,0,1,0,Larosite,,,,,,,1971,1,0.03,brown,1,3.5,0,,22.15,24.03,11.67,90,90,90,6211.527,orthorhombic,,,,,2223,11217,2,16,"Foster Mine, Coleman Township, Cobalt Area, Cobalt-Gowganda Region, Timiskaming District, Ontario, Canada","47.373333333333,-79.664166666667",CJES_23_1507,
Launayite,Launayite,3120,"CuPb_10_(Sb,As)_13_S_30_",,Cu Pb Sb As S,5,,3,2788,51,0,1,0,1,0,Launayite,,,,,,,1966,1,,gray,1,3,0,Madocite,42.6,8.04,32.3,90,102.08,90,10817.907,monoclinic,,,,,,,0,8,,,,
Lautenthalite,Lautenthalite,1390,Pb^2+^Cu^2+^_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O,,Pb Cu S O H,5,2,17,2794,"72,89",0,0,1,0,1,Lautenthalite,192,5.585,1072.313,0.736,,,1983,1,0.07,blue,2,2.5,0,Devilline,21.642,6.04,22.544,90,108.2,90,2799,monoclinic,2/m,P21/c,4,P,367,1468,3,33,"Force Crag Mine (Force Craig Mine), Coledale, Braithwaite District, Cumbria, England, UK","54.583055555556,-3.2377777777778",GM111_521,
Lautite,Lautite,1073,CuAsS,,Cu As S,3,,28,2795,51,0,1,0,1,0,Lautite,12,1.585,19.02,0.442,2008,240925,1881,6,2.3,black,1,3.5,1,,11.351,4.3211,4.885,90,90,90,232.2863333,orthorhombic,2/m2/m2/m,Pnma,8,P,1800,203745,18,88,"Ambaji Deposit, Deri-Ambaji Zn-Pb-Cu Deposit, Sirohi District, Udaipur Division, Rajasthan (Rajputana), India","24.333333333333,72.85",USGSOFR2009_1297,
Lavendulan,Lavendulan,428,NaCaCu^2+^_5_(As^5+^O_4_)_4_Cl·5H_2_O,,Na Ca Cu As O Cl H,7,2,136,2796,72,0,0,1,0,1,Lavendulan,132,5.044,665.86,0.716,,,1837,6,0.3,blue,2,2.5,1,,10.001,19.454,10.0335,90,90.19,90,1952.104,monoclinic,2/m,P21/n,4,P,2700,108736,68,290,"Sanyati Mine, Kadoma District, Mashonaland West, Zimbabwe","0,0",G82_469,
Lavinskyite,Lavinskyite,3630,K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_,,K Li Cu Si O H,6,2,2,6038,72,0,0,1,0,1,Lavinskyite,188,4.576,860.263,0.606,,,2012,1,0.05,blue,2,5,1,Plancheite,19.04666667,20.38,5.2493,90,90,90,2037.626,orthorhombic,2/m2/m2/m,Pcnb,,P,,,0,4,,,,
Leightonite,Leightonite,2153,K_2_Ca_2_Cu^2+^(S^6+^O_4_)_4_·2H_2_O,,K Ca Cu S O H,6,2,5,2813,72,0,0,1,0,1,Leightonite,26,2.777,72.211,0.591,2002,94629,1938,2,0.4,green,2,3,1,,11.6555,7.4969,10.081,90,125.09,90,720.776,monoclinic,2/m,C2/c,,C,541,2428,3,18,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Leisingite,Leisingite,4524,Cu^2+^Mg_2_Te^6+^O_6_·6H_2_O,,Cu Mg Te O H,5,2,1,2814,72,0,0,1,0,1,Leisingite,16,1.936,30.98,0.484,1997,76868,1995,1,0.02,yellow,2,4,1,,5.316,5.316,9.719,90,90,120,237.86,hexagonal,32/m2/m,P31m,,P,,,0,5,,,,
Lemanskiite,Lemanskiite,2341,NaCaCu^2+^_5_(As^5+^O_4_)_4_Cl·5H_2_O,,Na Ca Cu As O Cl H,7,2,5,2816,72,0,0,1,0,1,Lemanskiite,,,,,,,1999,1,0.5,blue,2,3,0,,9.9957,9.9957,36.7025,90,90,90,3667.0785,tetragonal,422,P4122,,P,20.2,1942,1,12,"Lavrion District Mines, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece","37.716388888889,24.018055555556",GM146_732,
Lengenbachite,Lengenbachite,2776,Ag_4_Cu_2_Pb_18_As_12_S_39_,,Ag Cu Pb As S,5,,2,2821,51,0,1,0,1,0,Lengenbachite,,,,,,,1905,5,4,gray,1,2,0,,36.892,5.842,5.847,90,90,91.01,1259.968,triclinic,,,,,245,3207,1,8,"Lengenbach Quarry, Fäld (Imfeld; Im Feld; Feld), Binn Valley, Wallis (Valais), Switzerland","46.365,8.2211111111111",,
Leningradite,Leningradite,3635,Pb^2+^Cu^2+^_3_(V^5+^O_4_)_2_Cl^1-^_2_,,Pb Cu V O Cl,5,2,1,2822,22,0,1,0,1,0,Leningradite,32,2.625,84,0.525,2007,157294,1988,1,0.03,red,2,4.25,1,,9.005,11.046,9.349,90,90,90,929.938,orthorhombic,2/m2/m2/m,Ibam,,I,3.60E-05,20412,1,7,"Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.743055555556,160.27333333333",BV43_47,
Leogangite,Leogangite,1572,Cu^2+^_10_(As^5+^O_4_)_4_S^6+^O_4_(OH)_6_·8H_2_O,,Cu As O S H,5,2,10,5311,72,0,0,1,0,1,Leogangite,98,4.635,454.242,0.701,2004,151482,1998,1,0.01,blue,2,,1,,21.77,12.327,10.72,90,92.85,90,2873.248,monoclinic,2/m,C2/c,8,C,416,266789,5,26,"Abraham Adit, West Slope (""Am Geyer""), Silberberg, Geyer - Silberberg District, Brixlegg - Rattenberg, Brixlegg - Schwaz Area, Inn Valley, North Tyrol, Tyrol, Austria","0,0",,
Leverettite,Leverettite,4528,Cu^2+^_3_Co^2+^Cl_2_(OH)_6_,,Cu Co Cl O H,5,2,1,6174,72,0,0,1,0,1,Leverettite,18,2.071,37.284,0.497,,,2013,1,0.1,green,2,3,1,Atacamite,6.8436,6.8436,14.0637,90,90,120,570.426,hexagonal,32/m2/m,R3m,,R,174,190910,1,5,"Torrecillas Mine, Salar Grande, El Tamarugal Province, Tarapacá Region, Chile","-20.978611111111,-70.143055555556",MM77_3047,
Lévyclaudite,Levyclaudite,4530,"Pb_8_Cu_3_Sn_7_(Bi,Sb)_3_S_28_",,Pb Cu Sn Bi Sb S,6,,1,2837,51,0,1,0,1,0,Lévyclaudite,7,1.95,13.651,0.695,,,1989,1,0.03,gray,1,2.5,0,,11.84,4.7475,6.0705,90,92.6,90,337.8,monoclinic,,,,,,,0,2,,,,
Libethenite,Libethenite,299,Cu^2+^_2_P^5+^O_4_(OH),,Cu P O H,4,2,216,2842,72,0,0,1,0,1,Libethenite,36,2.948,106.117,0.57,2007,249609,1823,6,3,green,2,4,1,Andalusite,8.095683333,8.30855,5.87125,90,90,90,394.8761667,orthorhombic,2/m2/m2/m,Pnnm,8,P,2622,145883,64,358,"Serra Verde Mine, Curionópolis, Carajás Mineral Province, Pará, Brazil","-6.1375,-49.644444444444",MD39_983,
Liebauite,Liebauite,3637,Ca_3_Cu^2+^_5_Si_9_O_26_,,Ca Cu Si O,4,2,1,2844,"32,33",1,0,0,1,0,Liebauite,86,4.496,386.659,0.7,1992,36566,1990,1,0.003,green,2,6,1,,10.16,10.001,19.973,90,91.56,90,2028.708,monoclinic,2/m,C2/c,,C,354,13795,2,7,"Nickenicher Sattel (Eicher Sattel), Nickenich, Andernach, Eifel, Rhineland-Palatinate, Germany","50.425833333333,7.3261111111111",,
Liguriaite,Liguriaite,4533,K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_,,K Li Cu Si O H,6,2,1,6315,0,,,,,,Liguriaite,,,,,,,2014,1,,,,,0,Plancheite,10.224,19.085,5.252,90,92.23,90,1024.021,monoclinic,2/m,P21/c,,P,,,0,2,,,,
Likasite,Likasite,1846,Cu^2+^_3_N^5+^O_3_(OH)_5_·2H_2_O,,Cu N O H,4,2,10,2847,72,0,0,1,0,1,Likasite,56,3.522,197.212,0.606,1986,30997,1955,2,0.15,blue,,,1,,5.8325,6.7785,21.7155,90,90,90,858.536,orthorhombic,2/m2/m2/m,Pcmn,8,P,675,4330,6,42,"Likasi Mine (Panda Mine), Likasi (Jadotville; Jadotstad), Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-11.004166666667,26.742777777778",OGR40_81,
Linarite,Linarite,111,Pb^2+^Cu^2+^S^6+^O_4_(OH)_2_,,Pb Cu S O H,5,2,893,2850,72,0,0,1,0,1,Linarite,20,3.122,62.439,0.722,2009,164673,1822,6,8,blue,2,2.5,1,Linarite,9.69662,5.65064,4.68784,90,102.6626,90,250.6104,monoclinic,2/m,P21/m,4,P,3293,251502,211,799,"Mount Edgar Osarizawaite Site, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia","0,0",EG97_873,
Lindackerite,Lindackerite,2154,Cu^2+^_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O,,Cu As O H,4,2,7,2851,72,0,0,1,0,1,Lindackerite,43,4.45,191.329,0.82,2003,55432,1853,6,0.03,green,2,2.5,1,Lindackerite,6.4275,8.0565,10.3715,85.425,79.44,84.68,524.6225,triclinic,1,P1,,P,330.6,4457,2,19,"Elias Mine, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.373055555556,12.885",L151_105,
Lindgrenite,Lindgrenite,1248,Cu^2+^_3_(Mo^6+^O_4_)_2_(OH)_2_,,Cu Mo O H,4,2,19,2852,72,0,0,1,0,1,Lindgrenite,34,3.146,106.974,0.618,2006,165288,1935,2,2,green,2,4.5,1,,5.428866667,14.0165,5.571516667,90,98.49233333,90,419.2253333,monoclinic,2/m,P21/n,4,P,1019,34443,11,69,"Klauvreidnuten Cu Mine (Kløvreidnuten Mine), Klauvreid, Tokke, Telemark, Norway","0,0",NJG85_87,
Lindströmite,Lindstromite,1008,Pb_3_Cu_3_Bi_7_S_15_,,Pb Cu Bi S,4,,31,2855,51,0,1,0,1,0,Lindstroemite,120,4.907,588.827,0.71,2008,160418,1975,1,1,gray,1,3.5,1,Meneghinite,56.115,11.5695,4.001,90,90,90,2597.539,orthorhombic,2/m2/m2/m,Pbnm,8,P,2223,10296,15,90,"Conisil Mine, Coleman Township, Cobalt Area, Cobalt-Gowganda Region, Timiskaming District, Ontario, Canada","47.369722222222,-79.66",CJES_23_1507,
Liroconite,Liroconite,1249,Cu^2+^_2_AlAs^5+^O_4_(OH)_4_·4H_2_O,,Cu Al As O H,5,2,18,2860,72,0,0,1,0,1,Liroconite,32,3.125,100,0.625,,,1822,6,3.6,green,2,2.5,1,,12.66435,7.57345,9.90905,90,91.253,90,950.176,monoclinic,2/m,I2/a,4,I,1349,3948,6,48,"Sterling Mine, Sterling Hill, Ogdensburg, Franklin Mining District, Sussex Co., New Jersey, USA","41.083611111111,-74.604722222222",GSAM206_307,
Lisiguangite,Lisiguangite,4537,CuPtBiS_3_,,Cu Pt Bi S,4,,1,5614,51,0,1,0,1,0,Lisiguangite,24,2.585,62.039,0.564,,,2007,1,0.2,,,2.5,1,,7.7152,12.838,4.9248,90,90,90,487.79,orthorhombic,222,P212121,,P,,,0,3,,,,
Litidionite,Litidionite,3640,KNaCu^2+^Si_4_O_10_,,K Na Cu Si O,5,2,2,2873,72,0,0,1,0,1,Litidionite,34,4.087,138.974,0.803,2009,260174,1880,6,3,blue,4,6,1,,9.7932,8.006033333,6.969466667,111.2963333,99.51133333,108.4386667,456.1256667,triclinic,1,P1,,P,,,0,4,,,,
Luddenite,Luddenite,2786,Cu^2+^_2_Pb^2+^_2_Si_5_O_14_·14H_2_O,,Cu Pb Si O H,5,2,3,2900,72,0,0,1,0,1,Luddenite,,,,,,,1981,1,0.001,green,4,4,0,,7.85,20.06,14.72,90,90.78,90,2317.758,monoclinic,,,,,,,0,6,,,,
Ludjibaite,Ludjibaite,1932,Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_,,Cu P O H,4,2,10,2901,72,0,0,1,0,1,Ludjibaite,19,3.406,64.711,0.802,1981,100744,1987,1,0.03,green,2,,1,,4.445,5.873,8.668,103.62,90.35,93.02,219.574,triclinic,1,P1,2,P,675,31414,5,36,"Shituru Mine, Likasi (Jadotville; Jadotstad), Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-11.014722222222,26.763611111111",OGR40_81,
Luetheite,Luetheite,2347,Cu^2+^_2_Al_2_(As^5+^O_4_)_2_(OH)_4_·H_2_O,,Cu Al As O H,5,2,3,2906,72,0,0,1,0,1,Luetheite,36,4.17,150.117,0.807,,,1976,1,0.02,blue,4,3,1,Chenevixite,5.7012,5.1801,29.265,90,89.99,90,864.277,monoclinic,2,B21,,B,65,4368,1,11,"Patagonia District, Patagonia Mts, Santa Cruz Co., Arizona, USA","31.395555555556,-110.73277777778",EG70_1437,
Lukrahnite,Lukrahnite,2787,"Ca(Cu^2+^,Zn^2+^)(Fe^3+^,Zn^2+^)(As^5+^O_4_)_2_(OH,H_2_O)_2_",,Ca Cu Zn Fe As O H,7,2,4,2908,72,0,0,1,0,1,Lukrahnite,15,3.107,46.603,0.795,,,1999,1,0.05,yellow,5,5,0,Helmutwinklerite,5.457,5.539,7.399,68.43,68.9,69.44,187.8,triclinic,1,P1,,P,541,2428,4,20,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Luzonite,Luzonite,366,Cu_3_AsS_4_,,Cu As S,3,,172,2913,51,0,1,0,1,0,Luzonite. antimonian,8,1.75,14,0.583,1967,26838,1874,6,0.2,brown,1,3.5,1,Sphalerite,5.326325,5.326325,10.56225,90,90,90,299.65175,tetragonal,42m,I42m,16,I,541,2428,58,311,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Lyonsite,Lyonsite,2788,Cu^2+^_3_Fe^3+^_4_(V^5+^O_4_)_6_,,Cu Fe V O,4,2,3,2914,22,0,1,0,1,0,Lyonsite,76,3.511,266.842,0.562,1987,202361,1986,1,0.023,black,1,,1,,10.296,17.207,4.91,90,90,90,869.872,orthorhombic,2/m2/m2/m,Pmcn,,P,3.60E-05,2656,1,10,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.833333333333,160.33333333333",BV43_47,
Macquartite,Macquartite,4556,Cu^2+^_2_Pb^2+^_7_(Cr^6+^O_4_)_4_(SiO_4_)_2_(OH)_2_,,Cu Pb Cr O Si H,6,2,1,2923,72,0,0,1,0,1,Macquartite,,,,,,,1979,1,0.1,orange,2,3.5,0,,20.81,5.84,9.26,90,91.8,90,1124.816,monoclinic,,,,,,,0,3,,,,
Mahnertite,Mahnertite,3135,"(Na,Ca,K)Cu^2+^_3_(As^5+^O_4_)_2_Cl·5H_2_O",,Na Ca K Cu As O Cl H,8,2,3,2970,72,0,0,1,0,1,Mahnertite,81,3.328,269.528,0.525,2004,54891,1994,1,0.01,blue,2,3,1,,10.037,10.037,23.739,90,90,90,2391.499,tetragonal,4/m2/m2/m,I4/mmm,,I,225,1747,2,13,"Cap Garonne Mine, Le Pradet, Var, Provence-Alpes-Côte D'Azur, France","43.081111111111,6.035",USGSOFR03_107,
Maikainite,Maikainite,3650,Cu_10_Fe_3_MoGe_3_S_16_,,Cu Fe Mo Ge S,5,1,2,5055,51,0,1,0,1,0,Maikainite,,,,,,,1992,1,0.015,yellow,1,4,0,Sphalerite,10.64,10.64,10.64,90,90,90,1205,cubic,,,,,541,2428,1,6,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Otjikoto Region (Oshikoto), Namibia","-19.25,17.7",,
Makovickyite,Makovickyite,2031,Cu_1.12_Ag_0.81_Pb_0.27_Bi_5.35_S_9_,,Cu Ag Pb Bi S,5,,8,2975,51,0,1,0,1,0,Makovickyite,16,3.125,50,0.781,2008,160420,1986,1,0.2,gray,1,3.5,1,Pavonite,13.239,4.0547,14.667,90,99.397,90,776.762,monoclinic,2/m,C2/m,,C,80.93,1981,2,20,"B?i?a Mining District (Baita Bihor; Rézbánya), Nucet, Bihor Co., Romania","46.481111111111,22.582222222222",MD43_1,
Malachite,Malachite,10,Cu^2+^_2_CO_3_(OH)_2_,,Cu C O H,4,2,11033,2976,72,0,0,1,0,1,Malachite,32,3,96,0.6,2010,260811,antiquity,6,9,green,3,4,1,Malachite,9.494666667,11.96166667,3.241,90,98.75333333,90,363.8,monoclinic,2/m,P21/a,4,P,3640,3086,1604,4313,"Barberton, Ehlanzeni District, Mpumalanga Province, South Africa","-25.724722222222,31.094444444444",JAES6_681,
Malanite,Malanite,1212,Cu^2+^Pt^3+^_2_S^2-^_4_,,Cu Pt S,3,2,22,2977,11,0,1,0,1,0,Malanite,14,1.379,19.303,0.362,1997,56265,1995,1,0.02,gray,1,5,0,Spinel,9.925,9.925,9.925,90,90,90,977.65,cubic,4/m32/m,Fd3m,192,F,3254,249375,8,50,"Bangur Gabbro, Baula Complex, Orissa, India","21.266666666667,86.328888888889",PR121_85,
Malyshevite,Malyshevite,2795,PdCuBiS_3_,,Pd Cu Bi S,4,,4,5561,51,0,1,0,1,0,Malyshevite,,,,,,,2006,1,0.01,,,,0,,7.541,6.4823,11.522,90,90,90,563.204,orthorhombic,,,,,1750,2766,2,18,"Srednyaya Padma Mine, Velikaya Guba Uran-vanadium Deposit, Zaonezhie Peninsula, Lake Onega, Karelia Republic, Northern Region, Russia","62.361388888889,35.437222222222",GOD39_219,
Mammothite,Mammothite,1935,Pb^2+^_6_Cu^2+^_4_AlSb^5+^O_2_(S^6+^O_4_)_2_Cl_4_(OH)_16_,,Pb Cu Al Sb O S Cl H,8,2,8,2985,"72,89",0,0,1,0,1,Mammothite,44,4.05,178.215,0.742,1985,30992,1983,1,0.1,blue,2,3,1,,18.9455,7.3319,11.348,90,112.427,90,1457.089,monoclinic,2/m,C2/m,,C,20.2,146285,5,18,"Harakas Cove Slag Locality (Charakas; Xarakas; Xaracas), Sounion Area, Lavrion District Slag Localities, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece","37.665,23.973333333333",GM146_732,
Markascherite,Markascherite,4585,Cu^2+^_3_Mo^6+^O_4_(OH)_4_,,Cu Mo O H,4,2,1,5843,72,0,0,1,0,1,Markascherite,32,3.625,116,0.725,,,2010,1,0.1,green,2,4,1,,9.9867,5.9917,5.5229,90,97.507,90,327.643,monoclinic,2/m,P21/m,,P,61,41346,1,8,"Childs-Adwinkle Mine (Childs And Altwilkle Mine; Childs-Aldwinkle Mine), Copper Creek, Copper Creek (Copper Creek Canyon), Bunker Hill District (Copper Creek District), Galiuro Mts, Pinal Co., Arizona, USA","32.758888888889,-110.47916666667",EG100_1605,
Marklite,Marklite,,Cu^2+^_5_(CO_3_)_2_(OH)_6_·6H_2_O,,Cu C O H,4,2,1,6498,0,,,,,,,,,,,,,2016,1,,blue,2,,0,,12.137,6.3832,10.579,90,112.42,90,757.636,monoclinic,2/m,P21/c,,P,,,,,,,,
Marshite,Marshite,1854,CuI,,Cu I,2,2,11,3033,72,0,0,1,0,1,Marshite,2,1,2,1,1971,9098,1892,6,0.5,orange,3,2.5,1,Sphalerite,6.06384,6.06384,6.06384,90,90,90,222.9752,cubic,43m,F43m,96,F,1855,6765,6,26,"Broken Hill Proprietary Mine (Proprietary Mine; BHP Mine), Broken Hill, Yancowinna Co., New South Wales, Australia","-31.966388888889,141.46416666667",EG100_633,
Marthozite,Marthozite,3662,Cu^2+^(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·8H_2_O,,Cu U O Se H,5,2,2,3035,72,0,0,1,0,1,Marthozite,112,4.807,538.424,0.706,2001,95289,1968,2,0.4,brown,2,,1,,7.03495,16.14835,17.15195,90,90,90,1948.362,orthorhombic,2mm,Pbn21,,P,675,4322,1,8,"Musonoi Mine, Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.7,25.383333333333",OGR40_81,
Mawsonite,Mawsonite,587,Cu_6_Fe_2_SnS_8_,,Cu Fe Sn S,4,1,78,3055,51,0,1,0,1,0,Mawsonite,17,2.558,43.487,0.626,1976,40047,1964,1,0.13,brown,1,4,1,,7.603,7.603,5.358,90,90,90,309.722,tetragonal,42m,P4m2,8,P,2716,4381,30,195,"Kidd Creek Mine (Kidd Mine), Kidd Township, Timmins Area, Cochrane District, Ontario, Canada","48.69,-81.366666666667",USGSOFR2009_1034,
Mcalpineite,Mcalpineite,1938,Cu^2+^_3_Te^6+^O_6_,,Cu Te O,3,2,8,3062,72,0,0,1,0,1,Mcalpineite,40,1.295,51.818,0.243,,,1992,1,0.0001,green,3,3,1,,9.54714,9.54714,9.54714,90,90,90,870.227,cubic,332/m,Ia3,,I,946,87939,3,24,"Aga Mine, Otto Mountain, Baker, San Bernardino Co., California, USA","35.272222222222,-116.095",GSAB101_1574,
Mcbirneyite,Mcbirneyite,3669,Cu^2+^_3_(V^5+^O_4_)_2_,,Cu V O,3,2,2,3064,22,0,1,0,1,0,Mcbirneyite,13,2.777,36.106,0.751,1982,27184,1985,1,0.02,black,1,,1,,5.196,5.355,6.505,69.22,88.69,68.08,155.733,triclinic,1,P1,,P,3.60E-05,20412,1,7,"Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.743055555556,160.27333333333",BV43_47,
