Name,Name (plain),rank,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,Cu redox,localities,Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",Year,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,structure,structure type,   a   ,   b   ,   c   ,   α   ,   β   ,   γ   ,   volume   ,   crystal system   ,   point group   ,   space group   ,multiplicity,   lattice   ,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID
Arsmirandite,Arsmirandite,3983,Na_18_Cu^2+^_12_Fe^3+^O_8_(As^5+^O_4_)_8_Cl_5_,,Na Cu Fe O As Cl,6,2,1,6379,"22,72",0,1,1,0,1,Arsmirandite,,,,,,,2014,1,0.1,green,2,,0,,10.742,21.019,11.787,90,117.06,90,2370.005,monoclinic,2/m,C2/m,,C,3.60E-05,251235,1,8,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Arthurite,Arthurite,1034,Cu^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·4H_2_O,,Cu Fe As O H,5,2,29,961,72,0,0,1,0,1,Arthurite,38,3.301,125.421,0.629,1978,100444,1964,2,1,green,2,3.5,0,Arthurite,10.149,9.629,5.576666667,90,92.18,90,544.596,monoclinic,2/m,P21/c,4,P,405,16737,10,82,"Sophie Mine, Gosenbach, Siegerland, North Rhine-Westphalia, Germany","0,0",AP17_225,
Arzrunite,Arzrunite,3352,Pb^2+^_2_Cu^2+^_4_S^6+^O_4_(OH)_4_Cl_6_·2H_2_O,,Pb Cu S O H Cl,6,2,2,5379,72,0,0,1,0,1,Arzrunite,,,,,,,1899,5,0.1,blue,,,1,,,,,,,,,,,,,,20.2,10611,1,10,"Maria Mine, Agia Varvara Mines (St Barbara Mines), Sounion Area, Lavrion District Mines, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece","0,0",GM146_732,
Ashburtonite,Ashburtonite,2649,HPb^2+^_4_Cu^2+^_4_(Si_4_O_12_)(HCO_3_)_4_(OH)_4_Cl,,H Pb Cu Si O C Cl,7,2,3,970,72,0,0,1,0,1,Ashburtonite,45,3.181,143.133,0.579,1991,80794,1991,1,0.04,blue,2,,1,Cerchiaraite,14.2115,14.2115,6.101,90,90,90,1232.2035,tetragonal,4/m,I4/m,,I,,,0,8,,,,
Astrocyanite-(Ce),Astrocyanite-(Ce),3988,Cu^2+^_2_Ce^3+^_2_(U^6+^O_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O,,Cu Ce U O C H,6,2,1,976,72,0,0,1,0,1,Astrocyanite-(Ce),,,,,,,1989,1,0.1,blue,2,2.5,0,,14.96,14.96,26.86,90,90,120,5206,hexagonal,,,,,675,4311,1,6,"Kamoto East Open Cut, Kamoto, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.720833333333,25.415277777778",OGR40_81,
Atacamite,Atacamite,171,Cu^2+^_2_Cl(OH)_3_,,Cu Cl O H,4,2,480,978,"22,25,72,89",0,1,1,0,1,Atacamite,36,2.725,98.117,0.527,2005,153706,1786,4,10,green,2,3.5,1,Atacamite,6.0245675,7.4316325,8.54863,90,90,90,376.9155,orthorhombic,2/m2/m2/m,Pnma,8,P,3200,109702,104,561,"Nangaroo Copper Mine, Eulaminna (Murrin Murrin Mining Centre), Leonora Shire, Western Australia, Australia","-28.930555555556,121.80555555556",USGSOFR2009_1034,
Athabascaite,Athabascaite,1547,Cu_5_Se_4_,,Cu Se,2,,13,980,52,0,1,0,1,0,Athabascaite,,,,,,,1970,1,0.01,gray,1,,0,,8.227,11.982,6.441,90,90,90,634.927,orthorhombic,,,,,1850,625,8,41,"Martin Lake Mine, Beaverlodge Area, Saskatchewan, Canada","59.535833333333,-108.56111111111",,
Atlasovite,Atlasovite,3356,Cu^2+^_6_Fe^3+^Bi^3+^O_4_(SO_4_)_5_·KCl,,Cu Fe Bi O S K Cl,7,2,1,982,"22,72",0,1,1,0,1,Atlasovite,156,3.593,560.523,0.493,,,1986,1,0.1,brown,2,2.5,0,,9.86,9.86,20.58,90,90,90,2000.779,tetragonal,4/m2/m2/m,P4/ncc,,P,3.60E-05,20412,1,7,"Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.743055555556,160.27333333333",BV43_47,
Attikaite,Attikaite,2650,Ca_3_Cu^2+^_2_Al_2_(As^5+^O_4_)_4_(OH)_4_·2H_2_O,,Ca Cu Al As O H,6,2,2,5357,72,0,0,1,0,1,Attikaite,,,,,,,2006,1,0.03,blue,2,2.5,0,,10.01,8.199,22.78,90,90,90,1870,orthorhombic,,,,,20.2,135343,1,11,"Shaft No. 132 (Christiana 132), Christiana Mine, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece","0,0",GM146_732,
Aubertite,Aubertite,1803,Cu^2+^Al(SO_4_)_2_Cl·14H_2_O,,Cu Al S O Cl H,6,2,8,985,72,0,0,1,0,1,Aubertite,55,4.836,265.975,0.836,1979,8225,1978,2,0.1,blue,2,,1,Aubertite,6.286666667,13.20966667,6.274666667,91.86333333,94.68,82.46333333,514.7176667,triclinic,1,P1,,P,470,21392,3,28,"Santa Elena Mine, Quebrada Alcaparrosa, Calingasta, Calingasta Department, San Juan, Argentina","-31.341944444444,-69.409166666667",USGSOFR2009_1034,
Auriacusite,Auriacusite,2966,Fe^3+^Cu^2+^As^5+^O_4_O,,Fe Cu As O,4,2,3,5764,72,0,0,1,0,1,,,,,,,,2009,1,0.1,yellow,2,3,1,Andalusite,8.6235,8.2757,5.9501,90,90,90,424.632,orthorhombic,2/m2/m2/m,Pnnm,,P,23,65989,1,12,"La Cena Del Depósito Concession, Cerro Minado Mines, Cuesta Alta, Huércal-Overa, Almería, Andalusia, Spain","37.372777777778,-1.9538888888889",T169_215,
Aurichalcite,Aurichalcite,125,Zn^2+^_5_(CO_3_)_2_(OH)_6_,,Zn Cu C O H,5,2,793,988,72,0,0,1,0,1,Aurichalcite,38,3.932,149.421,0.749,1994,75323,1788,6,10,blue,2,1.5,1,,13.81166667,6.413133333,5.2898,90,100.834,90,460.1963333,monoclinic,2/m,P21/m,4,P,2046,2390,144,648,"Aghbar Mine (Arhbar Mine), Aghbar, Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco","30.525,-6.8186111111111",GSLSP350_7,
Auricupride,Auricupride,1455,Cu_3_Au,,Cu Au,2,,14,989,37,3,0,0,1,0,Auricupride,4,0.811,3.245,0.406,1991,56266,1950,,0.01,yellow,1,3.5,1,Auricupride,3.7465,3.7465,3.7465,90,90,90,52.5875,cubic,4/m32/m,Pm3m,48,P,2050,259315,3,37,"Sandsloot Mine, Mokopane (Potgietersrus), Waterberg District, Bushveld Complex, Limpopo Province, South Africa","-24.011944444444,28.910555555556",EG105_1057,
Avdoninite,Avdoninite,2250,K_2_Cu^2+^_5_Cl_8_(OH)_4_·2H_2_O,,K Cu Cl O H,5,2,4,5318,"22,72",0,1,1,0,1,Avdoninite,58,3.892,225.763,0.664,,,2005,1,0.02,green,2,3,0,,24.34,5.878,11.626,90,93.3,90,1660.6,monoclinic,,,,,444,19578,3,19,"Blyava Cu Deposit, Sakmara Zone, Mednogorsk District, Orenburgskaya Oblast', Southern Urals, Urals Region, Russia","0,0",OGR27_203,
Averievite,Averievite,3358,Cu^2+^_5_O_2_(V^5+^O_4_)_2_·Cu^2+^Cl^1-^_2_,,Cu O V Cl,4,2,1,994,"22,72",0,1,1,0,1,Averievite,18,3.642,65.549,0.873,1997,85128,1995,1,0.03,black,1,4,1,,6.375,6.375,8.399,90,90,120,295.61,hexagonal,3,P3,,P,3.60E-05,2656,1,8,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.833333333333,160.33333333333",BV43_47,
Azurite,Azurite,24,Cu^2+^_3_(CO_3_)_2_(OH)_2_,,Cu C O H,4,2,4965,999,72,0,0,1,1,0,Azurite,30,2.974,89.207,0.606,2007,417591,1747,6,10,blue,2,4,1,,5.00972,5.846365,10.34485,90,92.4335,90,302.713,monoclinic,2/m,P21/c,4,P,3640,3086,869,2808,"Barberton, Ehlanzeni District, Mpumalanga Province, South Africa","-25.724722222222,31.094444444444",JAES6_681,
Babánekite,Babanekite,2967,Cu^2+^_3_(As^5+^O_4_)_2_·8H_2_O,,Cu As O H,4,2,3,6063,72,0,0,1,0,1,Babánekite,,,,,,,2012,1,,white,2,,0,Vivianite,10.1742,13.5103,4.7489,90,105.416,90,629.281,monoclinic,2/m,C2/m,,C,330.6,241052,1,10,"Geister Vein (""sv. Duch"" Vein), Rovnost Mine (Werner Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.368888888889,12.897222222222",L151_105,
Bairdite,Bairdite,3361,Pb_2_Cu^2+^_4_Te^6+^_2_O_10_(OH)_2_(S^6+^O_4_)·H_2_O,,Pb Cu Te O H S,6,2,1,6117,72,0,0,1,0,1,Bairdite,60,3.907,234.413,0.661,60,3.907,2012,1,0.025,green,2,3,1,,14.3264,5.225466667,9.492866667,90,106.89,90,680.0093333,monoclinic,2/m,P21/c,,P,946,205196,1,6,"Bird Nest Drift, Otto Mountain, Baker, San Bernardino Co., California, USA","35.276666666667,-116.1",GSAB101_1574,
