Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
4509,Tyuyamunite,,5,6,614,4509,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.002,yellow,3,1.5-2,,,10.63,8.36,20.4,90,90,90,,orthorhombic,,,,2742
4515,Ulrichite,4,6,6,1,4515,"15,16,58",FALSE,FALSE,TRUE,TRUE,FALSE,76,4.301,326.842,0.688,FALSE,0.001,green,2,3-3.5,sheet,,12.784,6.996,13.007,90,91.92,90,1162.652,orthorhombic,2/m,P21/c,P,398
4520,Umohoite,2,4,6,14,4520,72,FALSE,FALSE,TRUE,FALSE,TRUE,40,4.322,172.877,0.812,FALSE,0.0005,orange-red,2,2,sheet,,6.3748,7.5287,14.628,82.64,85.95,89.91,694.513,triclinic,-1,P-1,P,602
4523,Upalite,4,5,6,3,4523,72,FALSE,FALSE,TRUE,FALSE,TRUE,116,4.892,567.526,0.713,FALSE,0.00033,amber-yellow,,3,sheet,,13.704,16.82,9.332,90,111.5,90,2001.364,monoclinic,2/m,P21/a,P,975.3
5326,Uramarsite,1,5,6,2,5326,72,FALSE,FALSE,TRUE,FALSE,TRUE,24,4.585,110.039,1,FALSE,0.002,green,2,2.5,sheet,Meta-Autunite,7.19,7.19,9.15,90,90,90,473.02,tetragonal,4/m2/m2/m,P4/nmm,P,416
4526,Uramphite,2,5,6,1,4526,72,FALSE,FALSE,TRUE,FALSE,TRUE,96,2.918,280.156,0.443,TRUE,0.0002,green,2,2-3,sheet,Natroautunite,7.0221,7.0221,18.0912,90,90,90,892.075,tetragonal,4/m2/m2/m,P4/ncc,P,
4527,Urancalcarite,4,5,6,6,4527,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.004,yellow,2,2-3,,,15.42,16.08,6.97,90,90,90,,orthorhombic,"2/m2/m2/m,mm2","Pbnm,Pbn21",P,675
4528,Uraninite,4,2,4,2595,4528,"15,16,51,61,78,83",FALSE,TRUE,TRUE,TRUE,FALSE,3,0.918,2.755,0.579,FALSE,11,black,1,5-6,framework,Fluorite,5.4682,5.4682,5.4682,90,90,90,163.506,cubic,4/m-32/m,Fm-3m,F,2749.9
5495,Uranocircite-II,2,5,6,87,5495,"53,72",FALSE,TRUE,TRUE,FALSE,TRUE,,,,,TRUE,2,yellow-green,6,2-2.5,sheet,,7.01,6.99,21.2,90,103.9,90,1008.4,monoclinic,2/m,P2/c,P,1700
4531,Uranophane-α,2,5,6,853,4531,72,FALSE,FALSE,TRUE,FALSE,TRUE,46,3.567,164.084,0.646,FALSE,1,yellow,2,2-3,sheet,,6.67,15.62,6.985,90,90,97.3,735.7,monoclinic,2/m,P21/b,P,3411
4532,Uranophane-β,2,5,6,132,4532,72,FALSE,FALSE,TRUE,FALSE,TRUE,88,4.459,392.43,0.69,FALSE,0.005,yellow,2,2.5-3,sheet,,13.947,15.465,6.626,90,91.3,90,1428.796,monoclinic,2/m,P21/a,P,
4533,Uranopilite,2,4,6,88,4533,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,90,5.492,494.267,0.846,FALSE,0.0005,yellow,silky,,chain,,8.896,14.029,14.339,96.61,98.472,99.802,1726.032,triclinic,-1,P-1,P,1850
4535,Uranosilite,4,3,6,2,4535,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,2,,,,11.6,14.68,12.83,90,90,90,2184.8,orthorhombic,"222,2/m2/m2/m,2/m2/m2/m","P221 21,Pmmb,Pmcb",P,313
4536,Uranospathite,2,6,6,20,4536,72,FALSE,FALSE,TRUE,FALSE,TRUE,76,4.301,326.842,0.688,FALSE,0.001,yellow,,2-2.5,sheet,,30.02,7.0084,7.0492,90,90,90,1483.097,orthorhombic,mm2,Pnn2,P,313
4537,Uranosphaerite,4,4,6,17,4537,72,FALSE,FALSE,TRUE,FALSE,TRUE,28,2.807,78.606,0.584,FALSE,0.0005,yellow-orange,greasy,2-3,sheet,,7.559,7.811,7.693,90,92.88,90,453.647,monoclinic,2/m,P21/n,P,725
4538,Uranospinite,4,5,6,49,4538,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,waxy,2-3,sheet,,14.35,20.66,7.17,90,90,90,2125,orthorhombic,2/m2/m2/m,Pnma,P,1180
4539,Uranotungstite,2,5,6,5,4539,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0003,yellow,6,2,,,9.22,13.81,7.17,90,90,90,912.94,orthorhombic,"2/m2/m2/m,mm2,222","Pmmm,Pmm2,P222",P,387
5355,Ursilite,6,5,6,4,5355,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,2,2-3,,Ursilite,11.6,14.68,12.83,90,90,90,2184.8,orthorhombic,,,,359
4550,Uvanite,,4,6,9,4550,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,brown-yellow,,,,,,,,,,,,orthorhombic,,,,13
4563,Vandenbrandeite,2,4,6,10,4563,72,FALSE,FALSE,TRUE,FALSE,TRUE,16,3,48,0.75,FALSE,1,dark green,2,4,sheet,,7.855,5.449,6.089,91.44,101.9,89.2,254.929,triclinic,-1,P-1,P,675
4564,Vandendriesscheite,8,4,6,50,4564,72,FALSE,FALSE,TRUE,FALSE,TRUE,480,5.907,2835.31,0.663,FALSE,,orange-amber,3,3,sheet,,14.1165,41.378,14.5347,90,90,90,8489.9,orthorhombic,2/m2/m2/m,Pbca,P,1710
4565,Vanmeersscheite,4,4,6,8,4565,72,FALSE,FALSE,TRUE,FALSE,TRUE,104,4.893,508.846,0.73,FALSE,0.0004,yellow,2,,framework,,17.06,16.76,7.023,90,90,90,2008.055,orthorhombic,mm2,P21mn,P,975.3
4568,Vanuralite,4,5,6,3,4568,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.003,yellow,,2,,,10.55,8.44,24.52,90,103,90,2127.35,monoclinic,2/m,A2/a,A,
6241,Vapnikite,2,3,6,3,6241,89?,TRUE,FALSE,TRUE,FALSE,TRUE,24,2.752,66.039,0.6,FALSE,0.00003,yellow-brown,2,5,framework,Perovskite,5.739,5.951,8.312,90,90.4,90,283.871,monoclinic,2/m,P21/n,P,354
4617,Vochtenite,,5,6,7,4617,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,brown,1,2.5,,,12.606,19.99,9.99,90,102.31,90,2458.37,monoclinic,,,,270
4619,Voglite,16,6,6,8,4619,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0003,green,6,,,,25.97,24.5,10.7,90,104,90,6605.81,monoclinic,"2,2/m","P21,P21/m",P,367
5759,Vorlanite,2,3,6,5,5759,"31,89?",TRUE,FALSE,TRUE,FALSE,TRUE,3,0.918,2.755,0.579,FALSE,0.0003,black,,4-5,framework,Fluorite,5.3647,5.3647,5.3647,90,90,90,154.396,cubic,4/m-32/m,Fm-3m,F,33.9
4634,Vyacheslavite,6,4,4,8,4634,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,green,greasy,,,,6.96,9.1,12.38,90,90,90,784.1,orthorhombic,"2/m2/m2/m,mm2,mm2","Cmcm,Cmc21,C2cm",C,387
6131,Vysokýite,2,4,4,1,6131,"72,78",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.008,green,2,2,chain,,10.749,5.044,19.1778,89.872,121.534,76.508,852.1,triclinic,-1,P-1,P,0
4653,Walpurgite,1,5,6,36,4653,72,FALSE,FALSE,TRUE,FALSE,TRUE,23,3.567,82.042,0.789,FALSE,0.006,yellow,3,3.5,chain,,7.135,10.426,5.494,101.47,110.82,88.2,374.036,triclinic,-1,P-1,P,387
4667,Weeksite,4,5,6,42,4667,"53,72",FALSE,FALSE,TRUE,FALSE,TRUE,59,4.154,245.076,0.706,FALSE,,yellow,waxy,1-2,framework,,14.1957,14.2291,9.6305,90,111.578,90,1808.954,monoclinic,2/m,C2/m,C,1257
6340,Wetherillite,2,6,6,2,6340,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,greenish-yellow,2,2,sheet,,20.367,6.8329,12.903,90,107.879,90,1709,monoclinic,2/m,P21/c,P,0
4695,Widenmannite,2,5,6,8,4695,72,FALSE,FALSE,TRUE,FALSE,TRUE,92,3.567,328.168,0.547,FALSE,,yellow,silky,2,chain,,4.977,9.3869,8.9597,90,90,90,418.585,orthorhombic,2/m2/m2/m,Pmmn,P,348.5
4718,Wölsendorfite,8,4,6,43,4718,72,FALSE,FALSE,TRUE,FALSE,TRUE,336,5.714,1919.82,0.681,FALSE,0.004,orange-red,4,5,sheet,Wölsendorfite,14.131,13.885,55.969,90,90,90,10981.618,orthorhombic,2/m2/m2/m,Cmcm,C,1870
4731,Wyartite,4,5,6,4,4731,72,FALSE,FALSE,TRUE,FALSE,TRUE,336,3.821,320.955,0.598,FALSE,0.003,black,2,3-4,sheet,,11.261,7.087,16.8359,90,90,90,1343.618,orthorhombic,2/m2/m2/m,Pmcn,P,1757
4739,Xiangjiangite,,6,6,1,4739,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,yellow,silky,1-2,,,7.17,7.17,22.22,90,90,90,1142.31,tetragonal,,,,
4759,Yingjiangite,4,6,6,10,4759,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.00015,yellow,3,3-4,,Phosphuranylite,15.707,17.424,13.692,90,90,90,3747.21,orthorhombic,2/m2/m2/m,Cmcm,C,310
4793,Zellerite,4,5,6,14,4793,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.005,yellow,dull,2,,,11.22,19.252,4.933,90,90,90,,orthorhombic,"2/m2/m2/m,mm2","Pmmm,Pmn21",P,356
4798,Zeunerite,2,5,6,182,4798,72,FALSE,FALSE,TRUE,FALSE,TRUE,106,3.162,335.16,0.47,TRUE,4,green,2,2.5,sheet,Autunite,7.1797,7.1797,20.857,90,90,90,1075.139,tetragonal,4/m2/m2/m,P4/nnc,P,1700
4807,Zinczippeite,2,5,6,6,4807,72,FALSE,FALSE,TRUE,FALSE,TRUE,70,4.444,311.05,0.725,FALSE,,yellow,,2,sheet,Zippeite,8.6437,14.1664,17.701,90,104.041,90,2102.73,monoclinic,2/m,C2/m,C,348.5
4824,Zippeite,2,5,6,167,4824,72,FALSE,FALSE,TRUE,FALSE,TRUE,34,3.382,114.974,0.665,FALSE,0.0005,yellow,silky,2,sheet,Zippeite,8.7524,13.9197,17.6972,90,104.178,90,2090.39,monoclinic,2/m,C2/m,C,2200
4836,Znucalite,,6,6,7,4836,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0001,light-yellow,silky,,,,10.72,25.16,6.33,90,90,90,1704.6,orthorhombic,,,,1180
