Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
1293,Calcurmolite,,6,6,10,1293,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0015,yellow,,2-3,,,16.3,25.5,19.5,90,90,90,8105,monoclinic,,,,3411
5876,Carlosbarbosaite,4,4,6,1,5876,"16,72",FALSE,FALSE,TRUE,FALSE,TRUE,38,3.09,117.421,0.589,FALSE,0.000125,cream-yellow,2,,framework,,14.15,10.395,7.529,90,90,90,1107,orthorhombic,2/m2/m2/m,Cmcm,C,580
1338,Carnotite,2,5,6,1159,1338,"72,83,87",FALSE,FALSE,TRUE,FALSE,TRUE,36,3.17,114.117,0.613,FALSE,0.002,yellow,2,2,sheet,,10.47,8.41,6.91,90,103.83,90,590.8,monoclinic,2/m,P21/b,P,2742
1360,Čejkaite,4,4,6,10,1360,"52,72,76",FALSE,FALSE,TRUE,FALSE,TRUE,38,4.248,161.421,0.809,FALSE,0.002,pale yellow,2,,cluster,,9.2919,16.0991,6.4436,90,91.404,90,963.62,monoclinic,m,Cc,C,282.7
1389,Chadwickite,14,4,6,1,1389,89,FALSE,FALSE,TRUE,FALSE,TRUE,22,2.163,47.578,0.485,FALSE,0.00002,yellow,dull,2,,,11,11,15.96,90,90,90,1931.16,tetragonal,,,,250
1425,Chernikovite,2,4,6,19,1425,"16,86",FALSE,FALSE,TRUE,FALSE,TRUE,48,2.252,108.078,0.403,FALSE,0.00001,yellow,2,2.5,sheet,Natroautunite,6.995,6.995,17.491,90,90,90,855.835,tetragonal,4/m 2/m 2/m,P4/ncc,P,1031
5213,Chistyakovaite,8,6,6,2,5213,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.002,yellow,,2.5,,,19.99,9.79,19.62,90,110.7,90,,monoclinic,"2/m,2,m","P2/m, P2, Pm",P,416
1483,Clarkeite,3,4,6,18,1483,72,FALSE,FALSE,TRUE,FALSE,TRUE,6,1.918,11.51,0.742,FALSE,,brown,waxy,4-4.5,sheet,,3.954,3.954,17.73,90,90,120,239.108,trigonal,-32/m,R-3m,R,367
5322,Cleusonite,,8,"4,6",13,5322,"38,51",TRUE,TRUE,FALSE,TRUE,FALSE,,,,,TRUE,3,black,sub-metallic,6-7,,Crichtonite,10.576,10.576,21.325,90,90,120,2066,trigonal,-3,R-3,R,260
1488,Cliffordite,4,3,4,3,1488,72,FALSE,FALSE,TRUE,FALSE,TRUE,104,2.68,278.728,0.4,FALSE,0.02,bright yellow,3,4,cluster,,11.37,11.37,11.37,90,90,90,1469.878,cubic,2/m-3,Pa3,P,48
4979,Cobaltzippeite,4,5,6,2,4979,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,70,4.444,311.05,0.725,FALSE,,"tan, orange",,2,sheet,Zippeite,8.65,14.1664,17.701,90,104.092,90,2102.7,monoclinic,2/m,C2/m,C,0
1528,Coconinoite,,6,6,10,1528,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.002,creamy yellow,,,,,12.45,12.96,17.22,90,105.7,90,2674.82,monoclinic,"2/m,m","C2/c, Cc",C,2800
1531,Coffinite,4,4,4,537,1531,"53,83,87",FALSE,FALSE,TRUE,FALSE,TRUE,16,1.5,24,0.375,FALSE,0.00002,black,3,5-6,framework,Zircon,6.995,6.995,6.263,90,90,90,306.449,tetragonal,4/m2/m2/m,I41/amd,I,3074
1541,Compreignacite,2,4,6,25,1541,72,FALSE,FALSE,TRUE,FALSE,TRUE,74,3.48,257.5,0.56,FALSE,0.0001,yellow,,,sheet,Compreignacite,14.8591,7.1747,12.1871,90,90,90,1299.3,orthorhombic,2/m2/m2/m,Pnnm,P,348.5
5081,Cousinite,,5,4,1,5081,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,black,2,,,,,,,,,,,,,,,602
