Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Country,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Reference (Max Age),Reference (Min Age),Excel ID (Max Age),Excel ID (Min Age),Query Minerals,# of Query Minerals at Locality
,,12814,"Le Limouzat Mine (incl. Le Limouzat Quarry; BN3; BN5; BN6), Les Bois-Noirs Mining Claim, Saint-Priest-la-Prugne, Saint-Just-en-Chevalet, Loire, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Becquerelite, Billietite, Coffinite, Dewindtite, Ianthinite, Johannite, Kasolite, Parsonsite, Phosphuranylite, Schoepite, Torbernite, Uraninite, Uranophane-α, Uranopilite, Vandendriesscheite, Wyartite",17
,,1720,"Margnac Mine, Compreignac, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Agrinierite, Autunite, Becquerelite, Billietite, Coffinite, Compreignacite, Curite, Ianthinite, Meta-autunite, Parsonsite, Phosphuranylite, Rameauite, Sabugalite, Schoepite, Uraninite, Uranophane-α, Wölsendorfite",17
,,29931,"Val Daone Mine (Val Daone Uranium Prospects), Limes, Daone Valley, Daone, Chiese Valley, Giudicarie Valleys, Trento Province, Trentino-Alto Adige (Trentino-Südtirol), Italy",Italy,,,,,,,,"Andersonite, Becquerelite, Cuprosklodowskite, Dumontite, Johannite, Kasolite, Liebigite, Meta-autunite, Metatorbernite, Metazeunerite, Schoepite, Schröckingerite, Torbernite, Uraninite, Uranophane-α, Zeunerite, Zippeite",17
,,33622,"Jackpile Mine (Jackpile-Paguate), Laguna District, Cibola Co., New Mexico, USA",USA,,,,,,,,"Autunite, Becquerelite, Carnotite, Chernikovite, Coffinite, Cuprosklodowskite, Meta-autunite, Metatorbernite, Metatyuyamunite, Phosphuranylite, Schoepite, Sklodowskite, Soddyite, Tyuyamunite, Uraninite, Uranophane-α, Weeksite",17
270,130,190410,"Horní Slavkov Uranium Ore District, Horní Slavkov (Schlaggenwald), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Autunite, Carnotite, Compreignacite, Cuprosklodowskite, Liebigite, Meta-autunite, Metanováčekite, Metatorbernite, Ningyoite, Nováčekite-I, Phosphuranylite, Rutherfordine, Torbernite, Uranophane-α, Uranopilite, Zeunerite",16
,,1669,"Les Montmins Mine (Ste Barbe Vein), Échassières, Ébreuil, Allier, Auvergne-Rhône-Alpes, France",France,,,,,,,,"Autunite, Bergenite, Carnotite, Curienite, Dewindtite, Dumontite, Francevillite, Hügelite, Heinrichite, Kasolite, Metatorbernite, Parsonsite, Torbernite, Uranocircite-II, Uranophane-α, Uranotungstite",16
250,201,1928,"Johann Mine, Burgfelsen, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",Germany,,13883,"Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany",MD47_251,MD47_251,Kristen002290,Kristen002290,"Arsenuranospathite, Billietite, Heinrichite, Kasolite, Metaheinrichite, Metakahlerite, Metanováčekite, Metazeunerite, Nováčekite-I, Schröckingerite, Uraninite, Uranophane-α, Uranospinite, Vandendriesscheite, Wölsendorfite, Zeunerite",16
,,1907,"Streuberg Quarry, Bergen, Bergen U Deposit, Zobes-Bergen District, Vogtland, Saxony, Germany",Germany,,,,,,,,"Arsenuranylite, Autunite, Bergenite, Billietite, Boltwoodite, Dewindtite, Kasolite, Meta-autunite, Metatorbernite, Phosphuranylite, Phurcalite, Torbernite, Uraninite, Uranocircite-II, Uranophane-α, Zeunerite",16
,,5363,"Jomac Mine, White Canyon, White Canyon District, San Juan Co., Utah, USA",USA,,,,,,,,"Blatonite, Boltwoodite, Coconinoite, Compreignacite, Leesite, Meta-autunite, Metaschoepite, Metazeunerite, Oswaldpeetersite, Rutherfordine, Schoepite, Sklodowskite, Swamboite-(Nd), Torbernite, Uraninite, Uranopilite",16
,,13568,"Palette Mine, South Alligator River, West Arnhem Region, Northern Territory, Australia",Australia,,,,,,,,"Becquerelite, Curite, Masuyite, Meta-autunite, Metatorbernite, Phosphuranylite, Rutherfordine, Saléeite, Soddyite, Threadgoldite, Torbernite, Uraninite, Uranophane-α, Uranopilite, Vandendriesscheite",15
270,130,4457,"Elias Mine, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Johannite, Kasolite, Liebigite, Metaschoepite, Metazellerite, Natrozippeite, Rabbittite, Schröckingerite, Torbernite, Uranopilite, Uranospathite, Voglite, Walpurgite, Zellerite, Zippeite",15
,,5636,"Jelení Hill, Horní Hoštice, Javorník (Jauernig), Olomouc Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,,,,,,,"Autunite, Becquerelite, Coffinite, Fourmarierite, Kasolite, Masuyite, Meta-autunite, Metatorbernite, Parsonsite, Studtite, Torbernite, Tyuyamunite, Uraninite, Uranophane-α, Wölsendorfite",15
,,19658,"Bel Air Mine, La Chapelle Largeau, Deux-Sèvres, Nouvelle-Aquitaine, France",France,,,,,,,,"Autunite, Bassetite, Coffinite, Ianthinite, Metatorbernite, Phosphuranylite, Rutherfordine, Sabugalite, Saléeite, Schoepite, Studtite, Torbernite, Uraninite, Uranophane-α, Uranopilite",15
,,14897,"Christa Mine, Großschloppen, Weißenstadt, Fichtelgebirge, Franconia, Bavaria, Germany",Germany,,,,,,,,"Autunite, Coffinite, Dewindtite, Fourmarierite, Metatorbernite, Phosphuranylite, Sabugalite, Saléeite, Sklodowskite, Torbernite, Uraninite, Uranophane-α, Uranosphaerite, Vandendriesscheite, Wölsendorfite",15
310,100,1892,"Walpurgis Flacher Vein, Weißer Hirsch Mine (Shaft 3), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,"Asselbornite, Liebigite, Metazeunerite, Nováčekite-I, Phosphuranylite, Saléeite, Trögerite, Uranophane-α, Uranopilite, Uranospathite, Uranosphaerite, Uranospinite, Walpurgite, Zeunerite, Zippeite",15
,,13944,"Ningyo-toge Mine (Ningyo-tohge Mine), Tottori Prefecture, Chugoku Region, Honshu Island, Japan",Japan,,,,,,,,"Autunite, Boltwoodite, Carnotite, Coffinite, Haiweeite, Liebigite, Ningyoite, Phosphuranylite, Sabugalite, Torbernite, Uraninite, Uranophane-α, Uranopilite, Weeksite, Zippeite",15
,,1719,"La Crouzille, Saint-Sylvestre, Haute-Vienne, Nouvelle-Aquitaine, France",France,,,,,,,,"Arsenuranospathite, Autunite, Bassetite, Becquerelite, Billietite, Curite, Ianthinite, Phosphuranylite, Sabugalite, Torbernite, Uranocircite-II, Uranopilite, Uranospathite, Zippeite",14
