Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Country,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Reference (Max Age),Reference (Min Age),Excel ID (Max Age),Excel ID (Min Age),Query Minerals,# of Query Minerals at Locality
330,313,107231,"Fahsel Quarry, Blauenthal, Eibenstock, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,107231,"Fahsel Quarry, Blauenthal, Eibenstock, Erzgebirge, Saxony, Germany",Germany,,146104,"Altenberg, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0425,Co-00001,Walpurgite,1
200,100,203471,"Friedrich August Adit, Auersberg, Sosa, Eibenstock, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",OGR28_1,OGR28_1,Co-00001,Co-00001,Autunite,1
330,313,132979,"Rote Grube, Freiberg, Freiberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,13862,"Agate Quarry, Halsbach, Freiberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
600,100,48834,"Georg Wagsfort Mine, Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0421,Co-00001,Torbernite,1
330,313,48834,"Georg Wagsfort Mine, Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,28009,"Gottessegen Mine (Gottes Segen Mine), Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,193505,"Neujahrsmaassen Mine, Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,195199,"Rote Grube (Rothe Grube), Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,Autunite,1
330,313,108723,"Schaar Shaft, Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
600,100,108723,"Schaar Shaft, Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0421,Co-00001,Zeunerite,1
330,313,15814,"Himmelreich Mine (Shaft 238), Gehringswalde, Marienberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,13871,"Vater Abraham Mine (""Shaft 139""; Shaft 152), Lauta, Marienberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
200,100,5471,"St Johannes Mine, Wolkenstein, Marienberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",OGR28_1,OGR28_1,Co-00001,Co-00001,Metauranospinite,1
330,313,5471,"St Johannes Mine, Wolkenstein, Marienberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,13199,"Straßburger Glück Mine, Niederschlag, Bärenstein, Niederschlag-Bärenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,223795,"St Johannis Mine, Bärenstein, Niederschlag-Bärenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,223793,"Shaft 327, Neudorf, Niederschlag-Bärenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,223818,"Shaft 281, Hammerunterwiesenthal, Oberwiesenthal, Niederschlag-Bärenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,6828,"Shaft 186, Alberoda, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,6829,"Shaft 296 (dump), Alberoda, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,69478,"Shaft 207, Niederschlema, Schlema, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",Germany,Passive Margin,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,229498,"Shaft 309, Niederschlema, Schlema, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",Germany,Passive Margin,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,30752,"Oberschlema, Schlema, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,1893,"Shaft 371, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
200,100,146109,"Schmiedeberg, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",OGR28_1,OGR28_1,Co-00001,Co-00001,Liebigite,1
200,100,13149,"Sadisdorf, Schmiedeberg, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",OGR28_1,OGR28_1,Co-00001,Co-00001,Torbernite,1
330,313,13149,"Sadisdorf, Schmiedeberg, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,72901,"Fürstenvertrag Mine, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,Liebigite,1
330,313,72901,"Fürstenvertrag Mine, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
327.4,100,22713,"Adam Heber Mine (Shaft 43), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MDR_817,OGR28_1,Co-00024,Co-00001,Metarauchite,1
330,313,22713,"Adam Heber Mine (Shaft 43), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,1897,"Daniel Mine (St. Daniel Mine), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,72899,"Gesellschaft Mine (Gesellschafter Zug Mine), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,7033,"Rappold Mine, Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,Walpurgite,1
330,313,23721,"Sauschwart Mine, Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,13574,"Siebenschlehen Mine (Shaft 10), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,22630,"Waldschacht Mine (Shaft 26), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,16381,"Weißer Hirsch Mine (Shaft 3), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,Torbernite,1
330,313,1892,"Walpurgis Flacher Vein, Weißer Hirsch Mine (Shaft 3), Neustädtel, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
330,313,206601,"Ritter Mine, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,9956,"Roter Berg District, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,Zeunerite,1
330,313,25994,"Wolfgang Maaßen Mine Field, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,72910,"Magnet Shaft (Magnet Adit), Zschorlau, Schneeberg District, Erzgebirge, Saxony, Germany",Germany,,1887,"Johanngeorgenstadt, Johanngeorgenstadt District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0429,Co-00001,Walpurgite,1
600,100,189753,"Gottes Geschick Vereinigt Feld Mine, Graul, Langenberg, Schwarzenberg District, Erzgebirge, Saxony, Germany",Germany,,31562,"Geyer, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0423,Co-00001,Metazeunerite,1
310,100,32452,"Pöhla, Schwarzenberg District, Erzgebirge, Saxony, Germany",Germany,,31852,"Niederschlema, Schlema, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0431,Co-00001,Nováčekite-I,1
330,313,1904,"Pöhla-Tellerhäuser Mine, Pöhla, Schwarzenberg District, Erzgebirge, Saxony, Germany",Germany,,13773,"Sauberg Mine, Ehrenfriedersdorf, Erzgebirge, Saxony, Germany",MD42_337,MD42_337,MD42_337-00019,MD42_337-00008,Uraninite,1
310,100,254902,"Fortuna Adit (Fortuna Mine), Deutschkatharinenberg, Deutschneudorf, Seiffen, Erzgebirge, Saxony, Germany",Germany,,204484,"Seiffen, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,OGR28_1,Alexandra-0426,Co-00001,Zeunerite,1
,,30404,"Eichberg Quarry, Biesig, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,30402,"Firstenstein (Scheffelstein), Königshain, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,30397,"Jenichen Quarry (Jehnichen Quarry; Jähnichen Quarry), Königshain, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,30401,"Rubel Quarry, Königshain, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,30405,"Schwalbenberg, Königshain, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,251627,"Emmerichswalde, Neißeaue, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Tyuyamunite,1
,,30398,"Schoorstein Quarry, Thiemendorf, Görlitz, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,190434,"Hölle Quarry, Schönberg, Cunewalde, Czorneboh, Löbau, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Uraninite,1
,,30399,"Krobnitz Quarry, Arnsdorf-Melaune Quarry, Döbschütz, Weißenberg, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
,,30324,"Neuland Quarry, Arnsdorf-Melaune Quarry, Döbschütz, Weißenberg, Oberlausitz, Saxony, Germany",Germany,,,,,,,,Euxenite-(Y),1
310,260,22443,"Vogtland, Saxony, Germany",Germany,,146104,"Altenberg, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,BOOK_MPLMEV_2008,Alexandra-0425,Alexandra-0425,Walpurgite,1
,,211848,"Shaft 59, Mechelgrün, Zobes U Deposit, Zobes-Bergen District, Vogtland, Saxony, Germany",Germany,,,,,,,,Uraninite,1
,,256394,"Heilmann Quarry, Kirchberg, Zwickau, Saxony, Germany",Germany,,,,,,,,Meta-autunite,1
296,289,16012,"Tilkerode (Abberode), Harz, Saxony-Anhalt, Germany",Germany,,22226,"Harz, Saxony-Anhalt, Germany",,,Hg-00077,Hg-00077,Uraninite,1
0,0,32121,"Beerwalde, Ronneburg U Deposit, Gera, Thuringia, Germany",Germany,,,,AM102_595,AM102_595,Anthropocene-039,Anthropocene-039,Nickelzippeite,1
,,31022,"Korbußen, Ronneburg U Deposit, Gera, Thuringia, Germany",Germany,,,,,,,,Coffinite,1
0,0,13506,"Lichtenberg Open Cast, Ronneburg U Deposit, Gera, Thuringia, Germany",Germany,,,,AM102_595,AM102_595,Anthropocene-031,Anthropocene-031,Magnesiozippeite,1
,,32122,"Sorge-Settendorf Mine, Sorge-Settendorf, Mohlsdorf-Teichwolframsdorf, Berga/Elster, Weida, Gera, Thuringia, Germany",Germany,,,,,,,,Torbernite,1
,,203789,"Copper Mine, Bergmannskopf, Gräfenroda, Thuringian Forest, Thuringia, Germany",Germany,,,,,,,,Torbernite,1
310,260,759,"Cínovec / Zinnwald (Cinvald), Erzgebirge; Krusné Hory Mts (Ore Mts), Germany & Czech Republic",Germany & Czech Republic,,146104,"Altenberg, Erzgebirge, Saxony, Germany",BOOK_MPLMEV_2008,BOOK_MPLMEV_2008,Alexandra-0425,Alexandra-0425,Walpurgite,1
20.2,3.6,1936,"Hilarion Mine (Hilarion Adit; Hilarion Mine No. 50), Hilarion Area, Kamariza Mines (Kamareza Mines), Agios Konstantinos [St Constantine] (Kamariza), Lavrion District Mines, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece",Greece,,14187,"Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece",GM146_732,GM146_732,Kristen002526,Kristen002526,Brannerite,1
20.2,3.6,225392,"Mine No. 18, Paleokamariza Mines, Paleokamariza Area, Lavrion District Mines, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece",Greece,,14187,"Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece",GM146_732,GM146_732,Kristen002526,Kristen002526,Sklodowskite,1
20.2,3.6,1935,"Plaka Mine No. 80 (Filoni 80), Plaka Mines, Plaka, Lavrion District Mines, Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece",Greece,,14187,"Lavrion District (Laurion; Laurium), Attikí Prefecture (Attica; Attika), Greece",GM146_732,GM146_732,Kristen002526,Kristen002526,Senaite,1
,,146047,"Kilkís Prefecture, Macedonia Department, Greece",Greece,,,,,,,,Metatorbernite,1
,,65867,"Köves Hill, Hosszúhetény, Mecsek Mts, Baranya Co., Hungary",Hungary,,,,,,,,Fluornatropyrochlore,1
0,0,12683,"Kővágószőlős, Mecsek Mts, Baranya Co., Hungary",Hungary,,,,AM102_595,AM102_595,Anthropocene-031,Anthropocene-031,Magnesiozippeite,1
,,258136,"Petőczpuszta, Kővágószőlős, Mecsek Mts, Baranya Co., Hungary",Hungary,,,,,,,,Zippeite,1
,,68074,"Bagoly Hill, Bükkszentkereszt, Bükk Mts, Borsod-Abaúj-Zemplén Co., Hungary",Hungary,,,,,,,,Uraninite,1
,,66343,"Kopasz Hill, Rakacaszend, Szendrői Mts, Borsod-Abaúj-Zemplén Co., Hungary",Hungary,,,,,,,,Autunite,1
,,109182,"Új-Hill, Fertőrákos, Balfi Mts, Győr-Moson-Sopron Co., Hungary",Hungary,,,,,,,,Meta-autunite,1
,,65187,"Kő Hill, Kópháza, Soproni Mts, Győr-Moson-Sopron Co., Hungary",Hungary,,,,,,,,Metatorbernite,1
,,106042,"Deák- Kút Quarry, Sopron, Soproni Mts, Győr-Moson-Sopron Co., Hungary",Hungary,,,,,,,,Autunite,1
,,67902,"Pécsely, Balaton Uplands, Veszprém Co., Hungary",Hungary,,,,,,,,Tyuyamunite,1
,,24472,"Andhra Pradesh, India",India,,,,,,,,Coffinite,1
,,225067,"Kottur, Karimnagar District, Andhra Pradesh, India",India,,,,,,,,Uraninite,1
,,225066,"Peddur, Karimnagar District, Andhra Pradesh, India",India,,,,,,,,Uraninite,1
,,234850,"Kodanda Rama Mine, Nellore District, Andhra Pradesh, India",India,,,,,,,,Samarskite-(Y),1
,,238032,"Bagjata Mine, Jadugora (Jadugoda; Jaduguda), Singhbhum District, Jharkhand, India",India,,,,,,,,Uraninite,1
,,29132,"Turamdih U-Cu(-Fe) Deposit, Jadugora (Jadugoda; Jaduguda), Singhbhum District, Jharkhand, India",India,,,,,,,,Uraninite,1
,,256614,"Chikkamagaluru District, Karnataka, India",India,,,,,,,,Uraninite,1
2499,2438,15187,"Malanjkhand Mine, Padritola, Baihar Tehsil, Balaghat District, Madhya Pradesh, India",India,,15187,"Malanjkhand Mine, Padritola, Baihar Tehsil, Balaghat District, Madhya Pradesh, India",PR134_189,PR134_189,Mo-00142,Mo-00140,Uraninite,1
,,14757,"Putholi, Chittorgarh District, Udaipur Division, Rajasthan (Rajputana), India",India,,,,,,,,Phurcalite,1
,,34118,"Chennai (Madras), Tamil Nadu, India",India,,,,,,,,Samarskite-(Y),1
,,265255,"Jaurahi Pegmatite, Banda District, Uttar Pradesh, India",India,,,,,,,,Samarskite-(Y),1
,,235192,"Mussoorie Phosphorite Deposit, Dehradun District, Uttarakhand, India",India,,,,,,,,Uraninite,1
,,233484,"Hurshi, Purulia District, West Bengal, India",India,,,,,,,,Brannerite,1
,,233476,"Nawahatu #1 Baryte Quarry, Nawahatu, Purulia District, West Bengal, India",India,,,,,,,,Brannerite,1
,,233480,"Nawahatu #2 Baryte Quarry, Nawahatu, Purulia District, West Bengal, India",India,,,,,,,,Brannerite,1
,,233481,"Ukma, Nawahatu, Purulia District, West Bengal, India",India,,,,,,,,Brannerite,1
23,5.3,205026,"Sungun Mine (Songun Mine), Ahar, Ahar County, East Azarbaijan Province (East Azerbaijan Province), Iran",Iran,,205026,"Sungun Mine (Songun Mine), Ahar, Ahar County, East Azarbaijan Province (East Azerbaijan Province), Iran",USGSOFR2008_1155,USGSOFR2008_1155,PorphCu-00254,PorphCu-00254,Uraninite,1
,,63563,"Kali Kafi Mine (Kale Kafi Mine), Anarak District, Nain County (Nayin County), Esfahan Province (Isfahan Province; Aspadana Province), Iran",Iran,,,,,,,,Seelite,1
26.9,13.8,25142,"Zareh Shuran Mine (Zarshuran Mine; Zarshouran Mine; Zarehehuran), Takab (Takan Tepe), West Azarbaijan Province (West Azerbaijan Province), Iran",Iran,,25142,"Zareh Shuran Mine (Zarshuran Mine; Zarshouran Mine; Zarehehuran), Takab (Takan Tepe), West Azarbaijan Province (West Azerbaijan Province), Iran",,,Hg-00082,Hg-00082,Uraninite,1
550,550,205068,"Chogart Mine, Bafq (Bafgh), Yazd Province, Iran",Iran,,223166,"Kushk Mine (Koushk Deposit), Bafq (Bafgh), Yazd Province, Iran",USGSOFR2009-1252,USGSOFR2009-1252,sedznpb-00245,sedznpb-00245,Davidite-(La),1
,,2018,"Akashat Mine, Akashat, Iraq",Iraq,,,,,,,,Curienite,1
,,43093,"Sheshkinnarone, Dunglow, Co. Donegal, Ireland",Ireland,,,,,,,,Torbernite,1
16,13,105759,"Hatrurim (Hatrurim Basin), Negev, Israel",Israel,,2063,"Hatrurim Formation, Negev, Israel",CG334_25,CG334_25,DeepDive-Co-0055,DeepDive-Co-0055,Metatyuyamunite,1
,,25821,"Brusson Mine, Brusson, Ayas Valley, Aosta Valley, Italy",Italy,,,,,,,,Orthobrannerite,1
,,56019,"Triolet Glacier, Ferret Valley, Les Grandes Jorasses Massif, Courmayeur, Aosta Valley, Italy",Italy,,,,,,,,Crichtonite,1
,,189484,"Toula Glacier, Veny Valley, Monte Bianco Massif (Mont Blanc Massif), Courmayeur, Aosta Valley, Italy",Italy,,,,,,,,Uranophane-α,1
,,30086,"Bosco Del Corvo, Longobucco, Camigliatello Silano, Sila, Cosenza Province, Calabria, Italy",Italy,,,,,,,,Autunite,1
,,125998,"Perboni Q. 750, Corchia Mine, Berceto, Parma Province, Emilia-Romagna, Italy",Italy,,,,,,,,Uraninite,1
1.25,1.15,54765,"Punta Della Guardia, Ponza Island, Latina Province, Latium, Italy",Italy,,54765,"Punta Della Guardia, Ponza Island, Latina Province, Latium, Italy",RDSIMF40_73,RDSIMF40_73,Michelle_0182,Michelle_0182,Uraninite,1
0.4,0.095,5749,"Vico Lake, Viterbo Province, Latium, Italy",Italy,,2081,"Vetralla, Vico Lake, Viterbo Province, Latium, Italy",RDSIMF40_73,RDSIMF40_73,Be-00010,Michelle_0148,Carnotite,1
0.4,0.4,212180,"Le Carcarelle, Vetralla, Vico Lake, Viterbo Province, Latium, Italy",Italy,,2081,"Vetralla, Vico Lake, Viterbo Province, Latium, Italy",RDSIMF40_73,RDSIMF40_73,Be-00010,Be-00010,Uraninite,1
0.4,0.4,2080,"Tre Croci, Vetralla, Vico Lake, Viterbo Province, Latium, Italy",Italy,,2081,"Vetralla, Vico Lake, Viterbo Province, Latium, Italy",RDSIMF40_73,RDSIMF40_73,Be-00010,Be-00010,Uraninite,1
,,29933,"Legarelle, Viterbo, Viterbo Province, Latium, Italy",Italy,,,,,,,,Carnotite,1
,,7019,"Cassagna Mine, Graveglia Valley, Ne, Genova Province, Liguria, Italy",Italy,,,,,,,,Zeunerite,1
,,2082,"Libiola Mine, Sestri Levante, Genova Province, Liguria, Italy",Italy,,,,,,,,Uraninite,1
,,4358,"Isolagrande Mine, Isolagrande, Murialdo, Savona Province, Liguria, Italy",Italy,,,,,,,,Schröckingerite,1
,,210041,"Madonna Valley, Premolo, Seriana Valley, Bergamo Province, Lombardy, Italy",Italy,,,,,,,,Dessauite-(Y),1
,,215973,"Coppo Mount, Campanone Del Coppo, Malga Valley, Sonico, Camonica Valley, Brescia Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,30387,"Alpe Lentrè, Varrone Valley, Tremenico, Lecco Province, Lombardy, Italy",Italy,,,,,,,,Autunite,1
,,60143,"Cima Di Codera, Bregaglia Valley, Valchiavenna, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,217990,"Rossaccio Alp (""Rossaccio Valley""), Bregaglia Valley, Valchiavenna, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,49543,"Tanno, Chiavenna, Valchiavenna, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,56865,"Grosina Valley, Codera Valley, Novate Mezzola, Valchiavenna, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,2086,"Malenco Valley, Valtellina, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Yttrocolumbite-(Y),1
,,27318,"Sissone Valley, Chiesa In Valmalenco, Malenco Valley, Valtellina, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,259456,"Lake Belviso, Belviso Valley, Teglio, Valtellina, Sondrio Province, Lombardy, Italy",Italy,,,,,,,,Uraninite,1
,,73161,"Laghetto Quarry, Cavagnano, Cuasso Al Monte, Ceresio Valley, Varese Province, Lombardy, Italy",Italy,,,,,,,,Euxenite-(Y),1
,,192054,"Puricelli Quarry, Cuasso Al Monte, Ceresio Valley, Varese Province, Lombardy, Italy",Italy,,,,,,,,Zeunerite,1
,,143472,"Salnova Quarry, Saltrio, Varese Province, Lombardy, Italy",Italy,,,,,,,,Tyuyamunite,1
,,133762,"Quittengo, Cervo Valley, Biella Province, Piedmont, Italy",Italy,,,,,,,,Zeunerite,1
,,214450,"Infernotto Valley, Bagnolo Piemonte, Cuneo Province, Piedmont, Italy",Italy,,,,,,,,Zeunerite,1
