#,Name,Mineral Name (plain),rank,IMA Formula,IMA Validity,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,U redox,localities,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",H atoms,A. Min. cif,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,avg hard,topology,anion topology,structure,pdf of Journal,Xstal data from mindat,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,multiplicity,lattice,delta-Gf,delta-Hf,delta-Sf,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID,Ruff locality link,Mindat locality link
21,Běhounekite,Behounekite,,U(SO4)2(H2O)4,A,U^4+^(S^6+^O_4_)_2_·4H_2_O,4,U S O H,4,4,1,1,5875,"72,78",0,0,1,0,1,,92,3.654,336.168,0.56,1,1,,,,0.05,dark-green,2,2,2,chain,,,Y,N,,14.6464,11.0786,5.691,90,90,90,923.43,orthorhombic,2/m2/m2/m,Pnma,,P,,,,0,188817,1,8,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911666666667",AM102_595,Anthropocene-012,http://rruff.info/mineral_list/locality.php?mineral_name=Behounekite,https://www.mindat.org/min-41073.html
22,Belakovskiite,Belakovskiite,,Na7(UO2)(SO4)4(SO3OH)(H2O)3,A,Na_7_(U^6+^O_2_)(S^6+^O_4_)_4_(S^6+^O_3_OH)·3H_2_O,2,Na U S O H,5,6,1,1,6234,"72,76",0,0,1,0,1,,75,5.242,393.161,0.842,0,1,,,,0.2,yellow-green,2,2,2,cluster,,,Y,N,,5.4581,11.3288,18.4163,104.786,90.092,96.767,1092.76,triclinic,-1,P-1,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-013,http://rruff.info/mineral_list/locality.php?mineral_name=Belakovskiite,https://www.mindat.org/min-45960.html
23,Bergenite,Bergenite,,Ca2Ba4(UO2)9O6(PO4)6·16H2O,G,Ca^2+^_2_Ba^2+^_4_(U^6+^O_2_)_9_O_6_(P^5+^O_4_)_6_·16H_2_O,2,Ca Ba U P O H,6,6,9,8,1098,89,0,0,1,0,1,,170,5.421,921.596,0.732,0,1,,,,0.003,yellow,,,,sheet,,,Y,N,Phosphuranylite,10.092,17.245,17.355,90,113.678,90,2766.2,monoclinic,2/m,P21/c,,P,,,,313,1777,3,12,"Krunkelbach Valley Uranium Deposit, Menzenschwand, Black Forest, Baden-Württemberg, Germany","47.838888888889,8.0488888888889",EJM21_817,Pfaff2009tbl06-01,http://rruff.info/mineral_list/locality.php?mineral_name=Bergenite,https://www.mindat.org/min-631.html
24,Beshtauite,Beshtauite,,(NH4)2(UO2)(SO4)2·2H2O,A,(N^3-^H_4_)_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O,4,N S O H,5,6,2,2,6107,72,0,0,1,0,1,,76,4.248,322.842,0.68,1,1,,,,0.05,green,2,2,2,sheet,,,Y,N,,7.736,7.3712,20.856,90,102.123,90,1162.76,monoclinic,2/m,P21/c,,P,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Beshtauite,https://www.mindat.org/min-43574.html
25,Bijvoetite-(Y),Bijvoetite-(Y),,Y8(UO2)16O8(CO3)16(OH)8·39H2O,A,Y^3+^_8_(U^6+^O_2_)_16_O_8_(C^4+^O_3_)_16_(OH)_8_·39H_2_O,4,Y U C O H,5,6,3,4,1127,72,0,0,1,0,1,,,,,,0,1,,,,,yellow,2,2,2,sheet,,,Y,N,,21.234,12.958,44.911,90,90.00,90,12357,monoclinic,2,B21,,B,,,,2615,4351,3,13,"Bikita Pegmatite, Bikita Area, Masvingo, Zimbabwe","-19.95,31.433333333333",GSLSP350_7,Kristen002502,http://rruff.info/mineral_list/locality.php?mineral_name=Bijvoetite-(Y),https://www.mindat.org/min-669.html
26,Billietite,Billietite,,Ba(UO2)6O4(OH)6·8H2O,G,Ba^2+^(U^6+^O_2_)_6_O_4_(OH)_6_·8H_2_O,4,Ba U O H,4,6,38,38,1131,72,0,0,1,0,1,,120,4.907,588.827,0.71,0,1,202478,,,0.005,yellow,3,,,sheet,,,Y,N,,12.0941,30.211,7.1563,90,90,90,2614.7,orthorhombic,mm2,Pbn21,,P,,,,675,14740,17,62,"Swambo Hill (Swambo Mine), Swambo, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-11.095277777778,26.223333333333",OGR40_81,Kristen002307,http://rruff.info/mineral_list/locality.php?mineral_name=Billietite,https://www.mindat.org/min-674.html
27,Blatonite,Blatonite,,(UO2)(CO3)·H2O,A,(U^6+^O_2_)(C^4+^O_3_)·H_2_O,36,U C O H,4,6,2,2,1153,72,0,0,1,0,1,,,,,,,0,,,,0.1,canary-yellow,7,2.0-3,2.5,,,,Y,N,,15.79,15.79,23.93,90,90,120,5167,hexagonal,,,,,,,,330.6,268271,1,6,"Plavno Mine, Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",N/A,L151_105,Kristen000027,http://rruff.info/mineral_list/locality.php?mineral_name=Blatonite,https://www.mindat.org/min-6826.html
28,Bluelizardite,Bluelizardite,,Na7(UO2)(SO4)4Cl(H2O)2,A,Na_7_(U^6+^O_2_)(S^6+^O_4_)_4_Cl^1-^·2H_2_O,8,Na U S O Cl H,6,6,1,1,6227,"72,76",0,0,1,0,1,,148,5.236,774.999,0.726,1,1,,,,0.4,pale yellow,2,2,2,cluster,,,Y,N,,21.1507,5.3469,34.6711,90,104.913,90,3788.91,monoclinic,2/m,C2/c,,C,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-014,http://rruff.info/mineral_list/locality.php?mineral_name=Bluelizardite,https://www.mindat.org/min-45881.html
29,Bobcookite,Bobcookite,,NaAl(UO2)2(SO4)4·18H2O,A,NaAl^3+^(U^6+^O_2_)_2_(S^6+^O_4_)_4_·18H_2_O,1,Na Al U S O H,6,6,2,2,6320,"72,76",0,0,1,0,1,,,,,,,0,,,,0.2,greenish-yellow,2,2.5,2.5,chain,,,Y,N,,7.7912,10.5491,11.2451,68.961,70.909,87.139,812.79,triclinic,-1,P-1,,P,,,,0,38665,2,7,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-015,http://rruff.info/mineral_list/locality.php?mineral_name=Bobcookite,https://www.mindat.org/min-46167.html
30,Boltwoodite,Boltwoodite,,"(K,Na)(UO2)(SiO3OH)·1.5H2O",G,"(K,Na)(U^6+^O_2_)(Si^4+^O_3_OH)·1.5H_2_O",2,K Na U Si O H,6,6,64,64,1172,"16,72",0,0,1,0,1,,20,3.322,66.439,0.769,0,1,100770,,,1,yellow,2,3.5-4,3.75,sheet,,,Y,N,,7.0772,7.0597,6.6479,90,104.982,90,320.9,monoclinic,2/m,P21/m,,P,,,,1742,11288,13,60,"Hundholmen, Tysfjord, Nordland, Norway","68.147222222222,16.266944444444",NGT66_69,Be-00032,http://rruff.info/mineral_list/locality.php?mineral_name=Boltwoodite,https://www.mindat.org/min-716.html
31,Brannerite,Brannerite,,UTi2O6,A,U^4+^Ti^4+^_2_O_6_,2,U Ti O,3,4,242,242,1206,"16,52,53,61",0,1,0,1,0,,9,2.281,20.529,0.72,,1,201342,,,30,brownish-yellow,2,4.5,4.5,chain,,,Y,N,Brannerite,9.8123,3.7697,6.9253,90,118.957,90,224.138,monoclinic,2/m,C2/m,,C,,,,3074,54065,56,233,"Moab Khotsong Mine, Klerksdorp, Witwatersrand Field, Dr Kenneth Kaunda District, North West Province, South Africa",N/A,OGR10_67,Kristen002296,http://rruff.info/mineral_list/locality.php?mineral_name=Brannerite,https://www.mindat.org/min-754.html
32,Braunerite,Braunerite,,K2Ca(UO2)(CO3)3·6H2O,A,K_2_Ca^2+^(U^6+^O_2_)(C^4+^O_3_)_3_·6H_2_O,,K Ca U C O H,6,6,1,1,6524,72,0,0,1,0,1,,,,2305.36,,,0,,,,,yellow,2,,,,,,N,N,,17.6725,11.6065,29.673,90,101.78,90,5958.22,monoclinic,2/m,P21/b,,P,,,,270,19729,1,7,"Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911388888889",IAEA-TECDOC_1258,Kristen002438,http://rruff.info/mineral_list/locality.php?mineral_name=Braunerite,https://www.mindat.org/min-47780.html
33,Calciouranoite,Calciouranoite,,"(Ca,Ba,Pb,K,Na)U2O7·5H2O",A,"(Ca,Ba,Pb,K,Na)U^6+^_2_O_7_·5H_2_O",,Ca Ba Pb U O H,6,6,4,4,1288,72,0,0,1,0,1,,,,,,,0,,,,,brown,11,4,4,,,,Y,N,Wölsendorfite,,,,,,,,,,,,,,,,142,25160,2,12,"Oktyabr'skoe Mo-U Deposit, Strel'tsovskoe Mo-U Ore Field, Krasnokamensk, Chitinskaya Oblast', Transbaikalia (Zabaykalye), Eastern-Siberian Region, Russia","50.091666666667,118.24944444444",GI47_321,Mo-00200,http://rruff.info/mineral_list/locality.php?mineral_name=Calciouranoite,https://www.mindat.org/min-828.html
